ID,Claims,LabelC,Related TweetT,LabelT,Related TweetF,LabelF
1,"Putin thinks heíll break Americaís will in Ukraine, but heís wrong, says the CIA director",TRUE,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director - NBC News 

 https://t.co/rDfLCUlK3F",TRUE,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the current CIA director

That could change tough if #PutinsPuppetTrump returns to the White House 
  https://t.co/0FR1BQn01H",FALSE
2,Russia says it will ramp up operations as rockets pound Ukrainian cities,TRUE,"Russia says it will ramp up operations as rockets pound Ukrainian cities
https://t.co/u8NPI2pkO7",TRUE,"So in the long run Ulraine will lose to Russia and we gave away Billions of dollars for what?

Russia says it will ramp up operations as rockets pound Ukrainian cities

https://t.co/6vbyxIa7cd",FALSE
3,Russia threatens broad Ukraine offensive as U.S. presses China over war stance,TRUE,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/XlkFrRguFx,TRUE,"Ethereum ($ETH, -1.8%) sinks on reports Russia threatens broad Ukraine offensive as U.S. presses China over war stance",FALSE
4,UN to investigate the killing and wounding of children in Ukraine,TRUE,"UN to investigate the killing and wounding of children in Ukraine

 https://t.co/CLNlsh2pM2",TRUE,"$SPY $RSX $DJIA $USO $WEAT UN¬†to investigate the killing and wounding of children in Ukraine

Dang hope not. 

https://t.co/bjJILJmNbD",FALSE
5,"The Westís unity over Ukraine could be starting to crack, just as Russiaís invasion gains ground",TRUE,"The West's unity over Ukraine could be starting to crack, just as Russia's invasion gains ground https://t.co/WvIfoC5GV2",TRUE,"This president is an idiot. Should have negotiated with Russia. He is the majn culprit behins the destruction of Ukrajne. 

The West's unity over Ukraine could be starting to crack, just as Russia's invasion gains ground https://t.co/lMnNvw4HQc",FALSE
6,G-20 finance meetings in Bali overshadowed by war in Ukraine,TRUE,G-20 finance meetings in Bali overshadowed by war in Ukraine https://t.co/CJjktYc22t,TRUE,"S SOT Janet Yellen said, ahead of a meeting in Bali between G-20 Finance Ministers, war in poses the greatest threat to the global economy. She also said Vladimir Putinís representatives had no place at the Friday & Saturday meetings of the G20 countries",FALSE
7,ëFrozen conflictí: Ukraine war could last 10 years or more if Russian forces arenít pushed back,TRUE,Frozen conflict': Ukraine war could last 10 years or more if Russian forces aren't pushed back https://t.co/p33DxQm8E7 #RussiaUkraineWar #UkraineWar #Donbass #UkraineÔ∏è,TRUE,"'Frozen conflict': Ukraine war could last 10 years or more if Russian forces aren't pushed back https://t.co/Lep2ieoOZy Russia has won the war, should be over by the end of the summer. Excellent news.",FALSE
8,Russiaís squeeze on gas means Germanyís energy giant is having to draw supplies from storage,TRUE,Russia's squeeze on gas means Germany's energy giant is having to draw supplies from storage https://t.co/hr1P4Kqda6,TRUE,Sure hopeüá©üá™üá™üá∫ are retooling their energy options #coal #nuclear‚ùóÔ∏èThere is little solace in knowing your #GreenEnergy doesn't exist as you are freezing to deathü•∂ Russia's squeeze on gas means Germany's energy giant is having to draw supplies from storage https://t.co/k6VvJVOPPa,FALSE
9,"U.S. calls on Russia to halt forced deportations of Ukrainians, citing war crimes",TRUE,"U.S. calls on Russia to halt forced deportations of Ukrainians, citing war crimes https://t.co/LgjvfptokJ",TRUE,"We send people back to the hell(s) WE created daily but not precious #Ukraine ?üôÑüñï#Biden may be geriatric but he‚Äôs still got plenty of nerve.
#DeportUkraine U.S. calls on Russia to halt forced deportations of Ukrainians, citing war crimes https://t.co/eR1QqekVu0",FALSE
10,"Ukraine Muslims pray for victory, end of occupation",TRUE,"Ukraine Muslims Pray for Victory, End of Occupation
https://t.co/SgwV5DzkMi",TRUE,"So pathetic! Since these religious types seem to have a pipeline to ""The Big Invisible Man in the Sky"" why don't they ask him how he allowed the whole evil, BLOODY Russian invasion to start in the fucking first place?!

(AP) Ukraine Muslims Pray for Victory, End of Occupation",FALSE
